lemma	lemma_orth	xpostag	llfpm10	lemma_freq	coda	c1	c2	lemma_syl_count	form_v	form_v_orth	suffix_v	freq_v	lfpm10v	suffix_nv	form_nv	form_nv_orth	freq_nv	lfpm10nv	odds_v	lo_v	varies	tag	tag_freq_in_dataset
tart	tart	[/V][Prs.NDef.3Pl]	3.987109835917599	8319452	rt	r	t	1	tartanak	tartanak	anak	422679	2.693025786813986	nak	tartnak	tartnak	99	-0.937349689860408	4269.484848484848	8.359248454561612	TRUE	3Pl (rajonganak)	440
ṉújt	nyújt	[/V][Prs.NDef.3Pl]	3.490448433130639	2651144	jt	j	t	1	ṉújtanak	nyújtanak	anak	224173	2.417598419353469	nak	ṉújtnak	nyújtnak	46	-1.2702270527763837	4873.326086956522	8.491531957689928	TRUE	3Pl (rajonganak)	440
kezd	kezd	[/V][Prs.NDef.3Pl]	3.772113864625659	5071060	zd	z	d	1	kezdenek	kezdenek	enek	148387	2.2384109701537196	nek	kezdnek	kezdnek	592	-0.16066317773503802	250.65371621621622	5.524072369916046	TRUE	3Pl (rajonganak)	440
mond	mond	[/V][Prs.NDef.3Pl]	4.129447533832242	11546023	nd	n	d	1	mondanak	mondanak	anak	113365	2.1214941079024947	nak	mondnak	mondnak	412	-0.3180876684248232	275.15776699029124	5.617344631311217	TRUE	3Pl (rajonganak)	440
dönt	dönt	[/V][Prs.NDef.3Pl]	3.394476429170933	2125501	nt	n	t	1	döntenek	döntenek	enek	103279	2.0810271397598905	nek	döntnek	döntnek	8	-2.0298948974660145	12909.875	9.465747801377082	TRUE	3Pl (rajonganak)	440
tölt	tölt	[/V][Prs.NDef.3Pl]	3.4380290110614276	2349708	lt	l	t	1	töltenek	töltenek	enek	94093	2.040572431058009	nek	töltnek	töltnek	6	-2.1548336340743144	15682.166666666666	9.660279464630493	TRUE	3Pl (rajonganak)	440
küzd	küzd	[/V][Prs.NDef.3Pl]	2.8842471998392543	656496	zd	z	d	1	küzdenek	küzdenek	enek	82211	1.9819450464602493	nek	küzdnek	küzdnek	36	-1.3766823836906703	2283.6388888888887	7.733525453586409	TRUE	3Pl (rajonganak)	440
tekint	tekint	[/V][Prs.NDef.3Pl]	3.253129436802632	1535021	nt	n	t	2	tekintenek	tekintenek	enek	63023	1.8665141880143536	nek	tekintnek	tekintnek	12	-1.853803638410333	5251.916666666667	8.566348368325492	TRUE	3Pl (rajonganak)	440
válast	választ	[/V][Prs.NDef.3Pl]	3.596984538197973	3388203	st	s	t	2	válastanak	választanak	anak	62873	1.8654792988501032	nak	válastnak	választnak	13	-1.819041532151121	4836.384615384615	8.483922740289453	TRUE	3Pl (rajonganak)	440
ḏűjt	gyűjt	[/V][Prs.NDef.3Pl]	2.9400629622305536	746531	jt	j	t	1	ḏűjtenek	gyűjtenek	enek	52991	1.791217230760921	nek	ḏűjtnek	gyűjtnek	22	-1.5905622036357516	2408.681818181818	7.786834913435613	TRUE	3Pl (rajonganak)	440
