lemma	lemma_orth	xpostag	llfpm10	lemma_freq	coda	c1	c2	lemma_syl_count	class	form_v	form_v_orth	suffix_v	freq_v	lfpm10v	suffix_nv	form_nv	form_nv_orth	freq_nv	lfpm10nv	odds_v	lo_v	varies	tag	tag_freq_in_dataset	category	form
tud	tud	[/V][Prs.NDef.3Pl]	4.443445610374606	23791975	d	d		1	vc	NA	NA	NA	NA	NA	nak	tudnak	tudnak	982706	3.059438723226239	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	tudnak
áll	áll	[/V][Prs.NDef.3Pl]	3.9639210093508	7886892	ll	l	l	1	cc	állanak	állanak	anak	12357	1.1589281622181222	nak	állnak	állnak	787800	2.963431092015165	0.015685453160700684	-4.155021546414752	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	állnak
áll	áll	[/V][Prs.NDef.3Pl]	3.9639210093508	7886892	ll	l	l	1	cc	állanak	állanak	anak	12357	1.1589281622181222	nak	állnak	állnak	787800	2.963431092015165	0.015685453160700684	-4.155021546414752	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	állnak
kerül	kerül	[/V][Prs.NDef.3Pl]	4.015619559057724	8883916	l	l		2	vc	NA	NA	NA	NA	NA	nek	kerülnek	kerülnek	770721	2.9539123080039413	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	kerülnek
fog	fog	[/V][Prs.NDef.3Pl]	4.017287015109367	8918091	g	g		1	vc	NA	NA	NA	NA	NA	nak	fognak	fognak	753478	2.9440856918767193	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	fognak
tud	tud	[/V][Prs.NDef.2Sg]	4.443445610374606	23791975	d	d		1	vc	NA	NA	NA	NA	NA	s	tuds	tudsz	565719	2.8196158805589007	NA	NA	FALSE	Prs.NDef.2Sg (mondas)	4096	vc training	tuds
kap	kap	[/V][Prs.NDef.3Pl]	3.9889175403192727	8354153	p	p		1	vc	NA	NA	NA	NA	NA	nak	kapnak	kapnak	545816	2.8040613779309997	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	kapnak
ad	ad	[/V][Prs.NDef.3Pl]	4.077110685148574	10235182	d	d		1	vc	NA	NA	NA	NA	NA	nak	adnak	adnak	479025	2.747373295091727	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	adnak
él	él	[/V][Prs.NDef.3Pl]	3.776620337778657	5123954	l	l		1	vc	NA	NA	NA	NA	NA	nek	élnek	élnek	460086	2.729854133820418	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	élnek
akar	akar	[/V][Prs.NDef.3Pl]	3.871469212133002	6374617	r	r		2	vc	NA	NA	NA	NA	NA	nak	akarnak	akarnak	425138	2.695545040675573	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	akarnak
tart	tart	[/V][Prs.NDef.3Pl]	3.987109835917599	8319452	rt	r	t	1	cc	tartanak	tartanak	anak	422679	2.693025786813986	nak	tartnak	tartnak	99	-0.937349689860408	4269.484848484848	8.359248454561612	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	tartnak
késül	készül	[/V][Prs.NDef.3Pl]	3.587115409235179	3312076	l	l		2	vc	NA	NA	NA	NA	NA	nek	késülnek	készülnek	334385	2.591261902959321	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	késülnek
jár	jár	[/V][Prs.NDef.3Pl]	3.7366923017261673	4673876	r	r		1	vc	NA	NA	NA	NA	NA	nak	járnak	járnak	320392	2.572696779011573	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	járnak
akar	akar	[/V][Prs.NDef.2Sg]	3.871469212133002	6374617	r	r		2	vc	NA	NA	NA	NA	NA	s	akars	akarsz	310578	2.5591858044845086	NA	NA	FALSE	Prs.NDef.2Sg (mondas)	4096	vc training	akars
kér	kér	[/V][Prs.1Sg›2]	3.810346657540986	5537727	r	r		1	vc	NA	NA	NA	NA	NA	lek	kérlek	kérlek	295321	2.5373094458794485	NA	NA	FALSE	Prs.1Sg›2 (mondalak)	1749	vc training	kérlek
šegít	segít	[/V][Prs.NDef.3Pl]	3.737458026782751	4682124	t	t		2	vc	šegítenek	segítenek	enek	281347	2.5162574041794072	nek	šegítnek	segítnek	279	-0.48738068118436023	1008.4121863799284	6.916132280107789	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
