lemma	lemma_orth	xpostag	llfpm10	lemma_freq	coda	c1	c2	lemma_syl_count	class	form_v	form_v_orth	suffix_v	freq_v	lfpm10v	suffix_nv	form_nv	form_nv_orth	freq_nv	lfpm10nv	odds_v	lo_v	varies	tag	tag_freq_in_dataset	category	form
mond	mond	[/V][Prs.NDef.2Sg]	4.129447533832242	11546023	nd	n	d	1	cc	mondas	mondasz	as	39605	1.6647651331678863	s	monds	mondsz	407	-0.3233904752327378	97.30958230958232	4.577897466455785	TRUE	Prs.NDef.2Sg (mondas)	3816	test	monds
örvend	örvend	[/V][Prs.NDef.3Pl]	2.1193126646506104	112797	nd	n	d	2	cc	örvendenek	örvendenek	enek	18970	1.3450824464307047	nek	örvendnek	örvendnek	691	-0.09350683708375944	27.452966714905937	3.31247423916139	TRUE	Prs.NDef.3Pl (mondanak)	4830	test	örvendnek
kering	kering	[/V][Prs.NDef.3Pl]	1.9960046439135095	84916	ng	n	g	2	cc	keringenek	keringenek	enek	15387	1.254169069327458	nek	keringnek	keringnek	532	-0.20707325216290967	28.922932330827063	3.3646347867157336	TRUE	Prs.NDef.3Pl (mondanak)	4830	test	keringnek
rajong	rajong	[/V][Prs.NDef.3Pl]	2.0252970219361894	90841	ng	n	g	2	cc	rajonganak	rajonganak	anak	13803	1.2069886035265007	nak	rajongnak	rajongnak	309	-0.4430264050331232	44.66990291262136	3.7992999619258327	TRUE	Prs.NDef.3Pl (mondanak)	4830	test	rajongnak
kösönt	köszönt	[/V][Prs.1Sg›2]	2.6232584999815622	359951	nt	n	t	2	cc	kösöntelek	köszöntelek	elek	11057	1.1106524251346128	lek	kösöntlek	köszöntlek	549	-0.1934125400078659	20.140255009107467	3.0027205490328712	TRUE	Prs.1Sg›2 (mondalak)	1583	test	kösöntlek
veršeng	verseng	[/V][Prs.NDef.3Pl]	1.673041590197379	40367	ng	n	g	2	cc	veršengenek	versengenek	enek	9319	1.0363844272755696	nek	veršengnek	versengnek	327	-0.4184371317976717	28.498470948012233	3.349850434888402	TRUE	Prs.NDef.3Pl (mondanak)	4830	test	veršengnek
ért	ért	[/V][Prs.1Sg›2]	3.4293511043012694	2303223	rt	r	t	1	cc	értelek	értelek	elek	7233	0.9263335806391584	lek	értlek	értlek	128	-0.8257749148100895	56.5078125	4.034378902929664	TRUE	Prs.1Sg›2 (mondalak)	1583	test	értlek
tekint	tekint	[/V][Prs.NDef.2Sg]	3.253129436802632	1535021	nt	n	t	2	cc	tekintes	tekintesz	es	6947	0.9088124144163976	s	tekints	tekintsz	63	-1.133644335004376	110.26984126984128	4.702930464301348	TRUE	Prs.NDef.2Sg (mondas)	3816	test	tekints
tart	tart	[/V][Prs.1Sg›2]	3.987109835917599	8319452	rt	r	t	1	cc	tartalak	tartalak	alak	5730	0.8251697375094321	lak	tartlak	tartlak	91	-0.9739434921368644	62.96703296703296	4.142611303191935	TRUE	Prs.1Sg›2 (mondalak)	1583	test	tartlak
čeng	cseng	[/V][Prs.NDef.3Pl]	1.8314154384984305	58130	ng	n	g	1	cc	čengenek	csengenek	enek	4808	0.7489795745367253	nek	čengnek	csengnek	560	-0.18479685745175745	8.585714285714285	2.1500996924858486	TRUE	Prs.NDef.3Pl (mondanak)	4830	test	čengnek
hord	hord	[/V][Prs.NDef.2Sg]	2.5559590570874056	308279	rd	r	d	1	cc	hordas	hordasz	as	4467	0.7170310680138807	s	hords	hordsz	62	-1.140593194959704	72.04838709677419	4.277337936307027	TRUE	Prs.NDef.2Sg (mondas)	3816	test	hords
tolong	tolong	[/V][Prs.NDef.3Pl]	1.2105607427804643	13917	ng	n	g	2	cc	tolonganak	tolonganak	anak	4170	0.6871511705157997	nak	tolongnak	tolongnak	316	-0.433297801839554	13.19620253164557	2.579929101205935	TRUE	Prs.NDef.3Pl (mondanak)	4830	test	tolongnak
megért	megért	[/V][Prs.1Sg›2]	2.9406855700837777	747602	rt	r	t	2	cc	megértelek	megértelek	elek	3786	0.6451957251698202	lek	megértlek	megértlek	36	-1.3766823836906703	105.16666666666669	4.655546393313158	TRUE	Prs.1Sg›2 (mondalak)	1583	test	megértlek
áld	áld	[/V][Prs.1Sg›2]	1.9847463785340496	82743	ld	l	d	1	cc	áldalak	áldalak	alak	3776	0.6440471011680735	lak	áldlak	áldlak	203	-0.6254888465447449	18.600985221674875	2.923214548223604	TRUE	Prs.1Sg›2 (mondalak)	1583	test	áldlak
ságuld	száguld	[/V][Prs.NDef.3Pl]	1.6960677532704322	42565	ld	l	d	2	cc	ságuldanak	száguldanak	anak	3516	0.6130639819437764	nak	ságuldnak	száguldnak	32	-1.427834906138052	109.875	4.6993433560053415	TRUE	Prs.NDef.3Pl (mondanak)	4830	test	ságuldnak
rajong	rajong	[/V][Prs.NDef.2Sg]	2.0252970219361894	90841	ng	n	g	2	cc	rajongas	rajongasz	as	202	-0.627633515011334	s	rajongs	rajongsz	3314	0.5873676196253601	0.06095353047676524	-2.7976435005853033	TRUE	Prs.NDef.2Sg (mondas)	3816	test	rajongs
sorong	szorong	[/V][Prs.NDef.3Pl]	1.6523630266366331	38490	ng	n	g	2	cc	soronganak	szoronganak	anak	3148	0.5650498392290692	nak	sorongnak	szorongnak	255	-0.5264447040240027	12.345098039215689	2.5132590643788677	TRUE	Prs.NDef.3Pl (mondanak)	4830	test	sorongnak
veršeng	verseng	[/V][Prs.NDef.2Pl]	1.673041590197379	40367	ng	n	g	2	cc	veršengetek	versengetek	etek	34	-1.4015059674157029	tek	veršengtek	versengtek	3139	0.5638064312420846	0.01083147499203568	-4.525299032225792	TRUE	Prs.NDef.2Pl (mondotok)	3155	test	veršengtek
ṉújt	nyújt	[/V][Prs.NDef.2Sg]	3.490448433130639	2651144	jt	j	t	1	cc	ṉújtas	nyújtasz	as	3112	0.5600547038596935	s	ṉújts	nyújtsz	53	-1.2087090148571689	58.716981132075475	4.0727289717461606	TRUE	Prs.NDef.2Sg (mondas)	3816	test	ṉújts
árt	árt	[/V][Prs.NDef.2Sg]	2.658968559291343	390799	rt	r	t	1	cc	ártas	ártasz	as	2962	0.5386001697272318	s	árts	ártsz	46	-1.2702270527763837	64.3913043478261	4.164978598338649	TRUE	Prs.NDef.2Sg (mondas)	3816	test	árts
ajánl	ajánl	[/V][Prs.NDef.2Sg]	3.322595137004172	1801275	nl	n	l	2	cc	ajánlas	ajánlasz	as	2948	0.536542594729056	s	ajánls	ajánlsz	111	-0.8876619056713004	26.55855855855856	3.2793520519968933	TRUE	Prs.NDef.2Sg (mondas)	3816	test	ajánls
bojong	bolyong	[/V][Prs.NDef.3Pl]	1.5543797744589725	30716	ng	n	g	2	cc	bojonganak	bolyonganak	anak	2855	0.522621228123909	nak	bojongnak	bolyongnak	273	-0.49682223741720183	10.457875457875458	2.347355326905151	TRUE	Prs.NDef.3Pl (mondanak)	4830	test	bojongnak
zeng	zeng	[/V][Prs.NDef.3Pl]	1.7743979085034178	50978	ng	n	g	1	cc	zengenek	zengenek	enek	2728	0.5028594815264835	nek	zengnek	zengnek	995	0.06483819628776764	2.741708542713568	1.00858128180476	TRUE	Prs.NDef.3Pl (mondanak)	4830	test	zengnek
örvend	örvend	[/V][Prs.NDef.2Pl]	2.1193126646506104	112797	nd	n	d	2	cc	örvendetek	örvendetek	etek	21	-1.6107655897240385	tek	örvendtek	örvendtek	2639	0.4884545057620919	0.00795755968169761	-4.833632898779901	TRUE	Prs.NDef.2Pl (mondotok)	3155	test	örvendtek
mond	mond	[/V][Prs.NDef.2Pl]	4.129447533832242	11546023	nd	n	d	1	cc	mondotok	mondotok	otok	1909	0.34782104393570895	tok	mondtok	mondtok	2410	0.44903215811691055	0.7921161825726141	-0.2330472027589531	TRUE	Prs.NDef.2Pl (mondotok)	3155	test	mondtok
küld	küld	[/V][Prs.1Sg›2]	3.329046184230405	1828231	ld	l	d	1	cc	küldelek	küldelek	elek	1871	0.33908890304205214	lek	küldlek	küldlek	68	-1.1004759717517214	27.514705882352946	3.314720621097983	TRUE	Prs.1Sg›2 (mondalak)	1583	test	küldlek
pillant	pillant	[/V][Prs.NDef.2Sg]	2.0275762625908595	91319	nt	n	t	2	cc	pillantas	pillantasz	as	1613	0.27464948293100366	s	pillants	pillantsz	22	-1.5905622036357516	73.31818181818181	4.294808624766893	TRUE	Prs.NDef.2Sg (mondas)	3816	test	pillants
felejt	felejt	[/V][Prs.NDef.2Sg]	2.6921814049054085	421858	jt	j	t	2	cc	felejtes	felejtesz	es	1564	0.2612518642658714	s	felejts	felejtsz	36	-1.3766823836906703	43.44444444444444	3.7714829826491463	TRUE	Prs.NDef.2Sg (mondas)	3816	test	felejts
jelent	jelent	[/V][Prs.NDef.2Sg]	3.848512349249592	6046405	nt	n	t	2	cc	jelentes	jelentesz	es	1524	0.25000008254562384	s	jelents	jelentsz	15	-1.756893625402277	101.6	4.6210435351443815	TRUE	Prs.NDef.2Sg (mondas)	3816	test	jelents
lézeng	lézeng	[/V][Prs.NDef.3Pl]	1.031557581621179	9216	ng	n	g	2	cc	lézengenek	lézengenek	enek	1404	0.21438222333582865	nek	lézengnek	lézengnek	73	-1.069662024337502	19.232876712328768	2.9566211434373653	TRUE	Prs.NDef.3Pl (mondanak)	4830	test	lézengnek
lappang	lappang	[/V][Prs.NDef.3Pl]	1.2723819034085184	16046	ng	n	g	2	cc	lappanganak	lappanganak	anak	1369	0.20341856367603217	nak	lappangnak	lappangnak	187	-0.6611432779214589	7.320855614973262	1.9907272084338623	TRUE	Prs.NDef.3Pl (mondanak)	4830	test	lappangnak
zeng	zeng	[/V][Prs.NDef.2Pl]	1.7743979085034178	50978	ng	n	g	1	cc	zengetek	zengetek	etek	12	-1.853803638410333	tek	zengtek	zengtek	1349	0.1970270652139464	0.00889547813194959	-4.722212206419756	TRUE	Prs.NDef.2Pl (mondotok)	3155	test	zengtek
kong	kong	[/V][Prs.NDef.3Pl]	1.684612987091838	41457	ng	n	g	1	cc	konganak	konganak	anak	1304	0.18229270693794355	nak	kongnak	kongnak	305	-0.448685045111172	4.275409836065574	1.4528799658791869	TRUE	Prs.NDef.3Pl (mondanak)	4830	test	kongnak
töpreng	töpreng	[/V][Prs.NDef.3Pl]	1.6971377584013545	42670	ng	n	g	2	cc	töprengenek	töprengenek	enek	1241	0.16078689704077198	nek	töprengnek	töprengnek	32	-1.427834906138052	38.78125	3.657936882404881	TRUE	Prs.NDef.3Pl (mondanak)	4830	test	töprengnek
leng	leng	[/V][Prs.NDef.3Pl]	1.7526762559372897	48491	ng	n	g	1	cc	lengenek	lengenek	enek	1199	0.1458342986408908	nek	lengnek	lengnek	279	-0.48738068118436023	4.297491039426523	1.4580313732061487	TRUE	Prs.NDef.3Pl (mondanak)	4830	test	lengnek
