lemma	lemma_orth	xpostag	llfpm10	lemma_freq	coda	c1	c2	lemma_syl_count	class	form_v	form_v_orth	suffix_v	freq_v	lfpm10v	suffix_nv	form_nv	form_nv_orth	freq_nv	lfpm10nv	odds_v	lo_v	varies	tag	tag_freq_in_dataset	category	form
áll	áll	[/V][Prs.NDef.3Pl]	3.9639210093508	7886892	ll	l	l	1	cc	állanak	állanak	anak	12357	1.1589281622181222	nak	állnak	állnak	787800	2.963431092015165	0.015685453160700684	-4.155021546414752	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	állnak
tart	tart	[/V][Prs.NDef.3Pl]	3.987109835917599	8319452	rt	r	t	1	cc	tartanak	tartanak	anak	422679	2.693025786813986	nak	tartnak	tartnak	99	-0.937349689860408	4269.484848484848	8.359248454561612	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	tartnak
šegít	segít	[/V][Prs.NDef.3Pl]	3.737458026782751	4682124	t	t		2	vc	šegítenek	segítenek	enek	281347	2.5162574041794072	nek	šegítnek	segítnek	279	-0.48738068118436023	1008.4121863799284	6.916132280107789	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
serepel	szerepel	[/V][Prs.NDef.3Pl]	3.3582689382149256	1955482	l	l		3	vc	serepelenek	szerepelenek	enek	9	-1.978742375018633	nek	serepelnek	szerepelnek	265535	2.49113688881283	3.3893836970644174e-5	-10.292277360381526	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
ṉújt	nyújt	[/V][Prs.NDef.3Pl]	3.490448433130639	2651144	jt	j	t	1	cc	ṉújtanak	nyújtanak	anak	224173	2.417598419353469	nak	ṉújtnak	nyújtnak	46	-1.2702270527763837	4873.326086956522	8.491531957689928	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	ṉújtnak
sámít	számít	[/V][Prs.NDef.3Pl]	3.4385556394811343	2352559	t	t		2	vc	sámítanak	számítanak	anak	189909	2.3455606624682015	nak	sámítnak	számítnak	153	-0.748293453640359	1241.235294117647	7.12386236764984	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
biztošít	biztosít	[/V][Prs.NDef.3Pl]	3.6171036154920224	3548857	t	t		3	vc	biztošítanak	biztosítanak	anak	181745	2.3264775873301793	nak	biztošítnak	biztosítnak	184	-0.6681670614484213	987.7445652173913	6.895424127091996	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
kezd	kezd	[/V][Prs.NDef.3Pl]	3.772113864625659	5071060	zd	z	d	1	cc	kezdenek	kezdenek	enek	148387	2.2384109701537196	nek	kezdnek	kezdnek	592	-0.16066317773503802	250.65371621621622	5.524072369916046	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	kezdnek
kell	kell	[/V][Prs.NDef.3Pl]	4.529006843156771	28972884	ll	l	l	1	cc	kellenek	kellenek	enek	119829	2.1455770505889933	nek	kellnek	kellnek	156	-0.7398602861034962	768.1346153846154	6.643964998236567	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	kellnek
késít	készít	[/V][Prs.NDef.3Pl]	3.587482795917409	3314879	t	t		2	vc	késítenek	készítenek	enek	118759	2.1416816475419136	nek	késítnek	készítnek	63	-1.133644335004376	1885.063492063492	7.541716782107162	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
mond	mond	[/V][Prs.NDef.3Pl]	4.129447533832242	11546023	nd	n	d	1	cc	mondanak	mondanak	anak	113365	2.1214941079024947	nak	mondnak	mondnak	412	-0.3180876684248232	275.15776699029124	5.617344631311217	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	mondnak
dönt	dönt	[/V][Prs.NDef.3Pl]	3.394476429170933	2125501	nt	n	t	1	cc	döntenek	döntenek	enek	103279	2.0810271397598905	nek	döntnek	döntnek	8	-2.0298948974660145	12909.875	9.465747801377082	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	döntnek
tölt	tölt	[/V][Prs.NDef.3Pl]	3.4380290110614276	2349708	lt	l	t	1	cc	töltenek	töltenek	enek	94093	2.040572431058009	nek	töltnek	töltnek	6	-2.1548336340743144	15682.166666666666	9.660279464630493	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	töltnek
küzd	küzd	[/V][Prs.NDef.3Pl]	2.8842471998392543	656496	zd	z	d	1	cc	küzdenek	küzdenek	enek	82211	1.9819450464602493	nek	küzdnek	küzdnek	36	-1.3766823836906703	2283.6388888888887	7.733525453586409	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	küzdnek
állít	állít	[/V][Prs.NDef.3Pl]	3.44386770736415	2381511	t	t		2	vc	állítanak	állítanak	anak	78472	1.9617298370679912	nak	állítnak	állítnak	63	-1.133644335004376	1245.5873015873017	7.127362425852619	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
áll	áll	[/V][Prs.NDef.2Sg]	3.9639210093508	7886892	ll	l	l	1	cc	állas	állasz	as	501	-0.23314715859071208	s	álls	állsz	76550	1.950960310576322	0.006544741998693664	-5.029093300000965	TRUE	Prs.NDef.2Sg (mondas)	4096	test	álls
épít	épít	[/V][Prs.NDef.3Pl]	3.2018428583606102	1364042	t	t		2	vc	építenek	építenek	enek	76010	1.9478858480744656	nek	építnek	építnek	38	-1.3532012878411477	2000.2631578947369	7.6010340298337	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
tekint	tekint	[/V][Prs.NDef.3Pl]	3.253129436802632	1535021	nt	n	t	2	cc	tekintenek	tekintenek	enek	63023	1.8665141880143536	nek	tekintnek	tekintnek	12	-1.853803638410333	5251.916666666667	8.566348368325492	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	tekintnek
válast	választ	[/V][Prs.NDef.3Pl]	3.596984538197973	3388203	st	s	t	2	cc	válastanak	választanak	anak	62873	1.8654792988501032	nak	válastnak	választnak	13	-1.819041532151121	4836.384615384615	8.483922740289453	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	válastnak
fordít	fordít	[/V][Prs.NDef.3Pl]	3.014535099548731	886176	t	t		2	vc	fordítanak	fordítanak	anak	55103	1.8081903595476985	nak	fordítnak	fordítnak	52	-1.2169815408231586	1059.673076923077	6.965715721538404	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
ḏűjt	gyűjt	[/V][Prs.NDef.3Pl]	2.9400629622305536	746531	jt	j	t	1	cc	ḏűjtenek	gyűjtenek	enek	52991	1.791217230760921	nek	ḏűjtnek	gyűjtnek	22	-1.5905622036357516	2408.681818181818	7.786834913435613	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	ḏűjtnek
foḏast	fogyaszt	[/V][Prs.NDef.3Pl]	2.9152615186654556	705093	st	s	t	2	cc	foḏastanak	fogyasztanak	anak	52621	1.7881742126242093	nak	foḏastnak	fogyasztnak	9	-1.978742375018633	5846.777777777777	8.673645981258407	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	foḏastnak
küld	küld	[/V][Prs.NDef.3Pl]	3.329046184230405	1828231	ld	l	d	1	cc	küldenek	küldenek	enek	49552	1.7620763035547538	nek	küldnek	küldnek	79	-1.0353577931675164	627.2405063291139	6.441330049745963	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	küldnek
alakít	alakít	[/V][Prs.NDef.3Pl]	3.073036794898776	1013962	t	t		3	vc	alakítanak	alakítanak	anak	49219	1.7591479012823787	nak	alakítnak	alakítnak	11	-1.8915921992997329	4474.454545454545	8.406139733995953	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
hašonlít	hasonlít	[/V][Prs.NDef.3Pl]	2.7944123971664334	533823	t	t		3	vc	hašonlítanak	hasonlítanak	anak	48437	1.752192352329476	nak	hašonlítnak	hasonlítnak	69	-1.0941357937207026	701.9855072463768	6.55391275886452	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
teremt	teremt	[/V][Prs.NDef.3Pl]	2.9969798872652507	851069	mt	m	t	2	cc	teremtenek	teremtenek	enek	44547	1.7158335775105404	nek	teremtnek	teremtnek	2	-2.6319548887939765	22273.5	10.011152910004226	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	teremtnek
sáll	száll	[/V][Prs.NDef.3Pl]	2.818571340335746	564360	ll	l	l	1	cc	sállanak	szállanak	anak	1182	0.13963259208727874	nak	sállnak	szállnak	41273	1.6826811530187649	0.028638577278123713	-3.5530006141667543	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	sállnak
tart	tart	[/V][Prs.NDef.2Sg]	3.987109835917599	8319452	rt	r	t	1	cc	tartas	tartasz	as	41142	1.6813005153910607	s	tarts	tartsz	185	-0.6658131560549441	222.38918918918918	5.404428951434094	TRUE	Prs.NDef.2Sg (mondas)	4096	test	tarts
mond	mond	[/V][Prs.NDef.2Sg]	4.129447533832242	11546023	nd	n	d	1	cc	mondas	mondasz	as	39605	1.6647651331678863	s	monds	mondsz	407	-0.3233904752327378	97.30958230958231	4.577897466455785	TRUE	Prs.NDef.2Sg (mondas)	4096	test	monds
indít	indít	[/V][Prs.NDef.3Pl]	3.083867182587013	1039566	t	t		2	vc	indítanak	indítanak	anak	38865	1.6565737875835482	nak	indítnak	indítnak	40	-1.3309248931299955	971.625	6.878969927550384	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
ḏárt	gyárt	[/V][Prs.NDef.3Pl]	2.644984606286616	378416	rt	r	t	1	cc	ḏártanak	gyártanak	anak	38159	1.648612100542327	nak	ḏártnak	gyártnak	12	-1.853803638410333	3179.9166666666665	8.06461026998012	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	ḏártnak
költ	költ	[/V][Prs.NDef.3Pl]	2.6688025015437415	399749	lt	l	t	1	cc	költenek	költenek	enek	37867	1.6452760151953587	nek	költnek	költnek	12	-1.853803638410333	3155.5833333333335	8.056928649591235	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	költnek
telješít	teljesít	[/V][Prs.NDef.3Pl]	3.08491742664225	1042083	t	t		3	vc	telješítenek	teljesítenek	enek	37467	1.6406640358681444	nek	telješítnek	teljesítnek	33	-1.4144709445800705	1135.3636363636363	7.034708263064714	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
eḏetért	egyetért	[/V][Prs.NDef.3Pl]	2.6806793792943684	410832	rt	r	t	3	cc	eḏetértenek	egyetértenek	enek	35284	1.6145929289478442	nek	eḏetértnek	egyetértnek	6	-2.1548336340743144	5880.666666666667	8.679425413150602	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	eḏetértnek
ért	ért	[/V][Prs.NDef.2Sg]	3.4293511043012694	2303223	rt	r	t	1	cc	értes	értesz	es	34591	1.605978232867311	s	érts	értsz	76	-1.0521712921771664	455.14473684210526	6.120615471316616	TRUE	Prs.NDef.2Sg (mondas)	4096	test	érts
hajt	hajt	[/V][Prs.NDef.3Pl]	2.919594521957997	712163	jt	j	t	1	cc	hajtanak	hajtanak	anak	33773	1.5955847555549336	nak	hajtnak	hajtnak	18	-1.6777123793546518	1876.2777777777778	7.537045187782931	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	hajtnak
tanít	tanít	[/V][Prs.NDef.3Pl]	2.9108935588957916	698037	t	t		2	vc	tanítanak	tanítanak	anak	33088	1.5866856326198715	nak	tanítnak	tanítnak	41	-1.3202010277382223	807.0243902439024	6.6933538911637935	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
ajánl	ajánl	[/V][Prs.NDef.3Pl]	3.322595137004172	1801275	nl	n	l	2	cc	ajánlanak	ajánlanak	anak	30906	1.5570579158062647	nak	ajánlnak	ajánlnak	26	-1.5180115364871398	1188.6923076923076	7.080609080772158	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	ajánlnak
ost	oszt	[/V][Prs.NDef.3Pl]	3.0325272520246824	923660	st	s	t	1	cc	ostanak	osztanak	anak	26269	1.486458656057534	nak	ostnak	osztnak	4	-2.3309248931299953	6567.25	8.789850454599907	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	ostnak
kezd	kezd	[/V][Prs.NDef.2Sg]	3.772113864625659	5071060	zd	z	d	1	cc	kezdes	kezdesz	es	26079	1.483306049886882	s	kezds	kezdsz	8	-2.0298948974660145	3259.875	8.089444130067339	TRUE	Prs.NDef.2Sg (mondas)	4096	test	kezds
függ	függ	[/V][Prs.NDef.3Pl]	2.921588333286279	715440	gg	g	g	1	cc	függenek	függenek	enek	20551	1.3798480747913793	nek	függnek	függnek	24876	1.4627956636835278	0.8261376427078309	-0.1909938816828596	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	függnek
sállít	szállít	[/V][Prs.NDef.3Pl]	2.8378516689698947	589979	t	t		2	vc	sállítanak	szállítanak	anak	24427	1.4548852479494043	nak	sállítnak	szállítnak	34	-1.4015059674157029	718.4411764705883	6.5770838322588405	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
válast	választ	[/V][Prs.NDef.2Sg]	3.596984538197973	3388203	st	s	t	2	cc	válastas	választasz	as	23424	1.43667617492034	s	válasts	választsz	3	-2.455863629738295	7808	8.962904128092928	TRUE	Prs.NDef.2Sg (mondas)	4096	test	válasts
dönt	dönt	[/V][Prs.NDef.2Sg]	3.394476429170933	2125501	nt	n	t	1	cc	döntes	döntesz	es	22910	1.4270402047314397	s	dönts	döntsz	22	-1.5905622036357516	1041.3636363636363	6.948286322089225	TRUE	Prs.NDef.2Sg (mondas)	4096	test	dönts
