lemma	lemma_orth	xpostag	llfpm10	lemma_freq	c1	c2	lemma_syl_count	form_v	form_v_orth	suffix_v	freq_v	lfpm10v	suffix_nv	form_nv	form_nv_orth	freq_nv	lfpm10nv	odds_v	lo_v	varies	tag	tag_freq_in_dataset	category	form	suffix_init	trigram	bigram1	bigram2	type
áll	áll	[/V][Prs.NDef.3Pl]	3.9639210093508	7886892	l	l	1	állanak	állanak	anak	12357	1.1589281622181222	nak	állnak	állnak	787800	2.963431092015165	0.01568545316070068	-4.155021546414752	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	állnak	n	lln	ll	ln	linking vowel varies
tart	tart	[/V][Prs.NDef.3Pl]	3.987109835917599	8319452	r	t	1	tartanak	tartanak	anak	422679	2.693025786813986	nak	tartnak	tartnak	99	-0.937349689860408	4269.484848484848	8.359248454561612	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	tartnak	n	rtn	rt	tn	linking vowel varies
jelent	jelent	[/V][Prs.NDef.3Pl]	3.848512349249592	6046405	n	t	2	jelentenek	jelentenek	enek	236501	2.440848096952294	NA	NA	NA	NA	NA	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	cc training	jelentenek	NA	NA	nt	NA	linking vowel always
ṉújt	nyújt	[/V][Prs.NDef.3Pl]	3.490448433130639	2651144	j	t	1	ṉújtanak	nyújtanak	anak	224173	2.417598419353469	nak	ṉújtnak	nyújtnak	46	-1.2702270527763837	4873.326086956522	8.491531957689928	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	ṉújtnak	n	jtn	jt	tn	linking vowel varies
kezd	kezd	[/V][Prs.NDef.2Pl]	3.772113864625659	5071060	z	d	1	NA	NA	NA	NA	NA	tek	kezdtek	kezdtek	212898	2.395186697163344	NA	NA	FALSE	Prs.NDef.2Pl (mondotok)	3308	cc training	kezdtek	t	zdt	zd	dt	linking vowel never
kezd	kezd	[/V][Prs.NDef.3Pl]	3.772113864625659	5071060	z	d	1	kezdenek	kezdenek	enek	148387	2.2384109701537196	nek	kezdnek	kezdnek	592	-0.16066317773503802	250.65371621621625	5.524072369916046	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	kezdnek	n	zdn	zd	dn	linking vowel varies
kell	kell	[/V][Prs.NDef.3Pl]	4.529006843156771	28972884	l	l	1	kellenek	kellenek	enek	119829	2.1455770505889933	nek	kellnek	kellnek	156	-0.7398602861034962	768.1346153846154	6.643964998236567	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	kellnek	n	lln	ll	ln	linking vowel varies
mond	mond	[/V][Prs.NDef.3Pl]	4.129447533832242	11546023	n	d	1	mondanak	mondanak	anak	113365	2.1214941079024947	nak	mondnak	mondnak	412	-0.3180876684248232	275.15776699029124	5.617344631311217	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	mondnak	n	ndn	nd	dn	linking vowel varies
dönt	dönt	[/V][Prs.NDef.3Pl]	3.394476429170933	2125501	n	t	1	döntenek	döntenek	enek	103279	2.0810271397598905	nek	döntnek	döntnek	8	-2.0298948974660145	12909.875	9.465747801377082	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	döntnek	n	ntn	nt	tn	linking vowel varies
tölt	tölt	[/V][Prs.NDef.3Pl]	3.4380290110614276	2349708	l	t	1	töltenek	töltenek	enek	94093	2.040572431058009	nek	töltnek	töltnek	6	-2.1548336340743144	15682.166666666666	9.660279464630491	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	töltnek	n	ltn	lt	tn	linking vowel varies
küzd	küzd	[/V][Prs.NDef.3Pl]	2.8842471998392543	656496	z	d	1	küzdenek	küzdenek	enek	82211	1.9819450464602493	nek	küzdnek	küzdnek	36	-1.3766823836906703	2283.6388888888887	7.733525453586409	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	küzdnek	n	zdn	zd	dn	linking vowel varies
áll	áll	[/V][Prs.NDef.2Sg]	3.9639210093508	7886892	l	l	1	állas	állasz	as	501	-0.23314715859071208	s	álls	állsz	76550	1.950960310576322	0.00654474199869366	-5.029093300000965	TRUE	Prs.NDef.2Sg (mondas)	4096	test	álls	s	lls	ll	ls	linking vowel varies
ért	ért	[/V][Prs.NDef.3Pl]	3.4293511043012694	2303223	r	t	1	értenek	értenek	enek	72346	1.926429639581053	NA	NA	NA	NA	NA	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	cc training	értenek	NA	NA	rt	NA	linking vowel always
tekint	tekint	[/V][Prs.NDef.3Pl]	3.253129436802632	1535021	n	t	2	tekintenek	tekintenek	enek	63023	1.8665141880143536	nek	tekintnek	tekintnek	12	-1.853803638410333	5251.916666666667	8.566348368325492	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	tekintnek	n	ntn	nt	tn	linking vowel varies
válast	választ	[/V][Prs.NDef.3Pl]	3.596984538197973	3388203	s	t	2	válastanak	választanak	anak	62873	1.8654792988501032	nak	válastnak	választnak	13	-1.819041532151121	4836.384615384615	8.483922740289453	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	válastnak	n	stn	st	tn	linking vowel varies
ḏűjt	gyűjt	[/V][Prs.NDef.3Pl]	2.9400629622305536	746531	j	t	1	ḏűjtenek	gyűjtenek	enek	52991	1.791217230760921	nek	ḏűjtnek	gyűjtnek	22	-1.5905622036357516	2408.681818181818	7.786834913435613	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	ḏűjtnek	n	jtn	jt	tn	linking vowel varies
šinč	sincs	[/V][Prs.NDef.3Pl]	3.0799649049073454	1030267	n	č	1	šinčenek	sincsenek	enek	52624	1.7881989716806217	NA	NA	NA	NA	NA	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	cc training	šinčenek	NA	NA	nč	NA	linking vowel always
foḏast	fogyaszt	[/V][Prs.NDef.3Pl]	2.9152615186654556	705093	s	t	2	foḏastanak	fogyasztanak	anak	52621	1.7881742126242093	nak	foḏastnak	fogyasztnak	9	-1.978742375018633	5846.777777777777	8.673645981258407	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	foḏastnak	n	stn	st	tn	linking vowel varies
küld	küld	[/V][Prs.NDef.3Pl]	3.329046184230405	1828231	l	d	1	küldenek	küldenek	enek	49552	1.7620763035547538	nek	küldnek	küldnek	79	-1.0353577931675164	627.2405063291139	6.441330049745963	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	küldnek	n	ldn	ld	dn	linking vowel varies
teremt	teremt	[/V][Prs.NDef.3Pl]	2.9969798872652507	851069	m	t	2	teremtenek	teremtenek	enek	44547	1.7158335775105404	nek	teremtnek	teremtnek	2	-2.6319548887939765	22273.5	10.011152910004226	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	teremtnek	n	mtn	mt	tn	linking vowel varies
sáll	száll	[/V][Prs.NDef.3Pl]	2.818571340335746	564360	l	l	1	sállanak	szállanak	anak	1182	0.13963259208727874	nak	sállnak	szállnak	41273	1.6826811530187649	0.02863857727812371	-3.5530006141667543	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	sállnak	n	lln	ll	ln	linking vowel varies
tart	tart	[/V][Prs.NDef.2Sg]	3.987109835917599	8319452	r	t	1	tartas	tartasz	as	41142	1.6813005153910607	s	tarts	tartsz	185	-0.6658131560549441	222.3891891891892	5.404428951434094	TRUE	Prs.NDef.2Sg (mondas)	4096	test	tarts	s	rts	rt	ts	linking vowel varies
