lemma_orth	form_1sg2_1	form_1sg2_2	form_2pl_1	form_2pl_2	form_3pl_1	form_3pl_2	coda	form_2sg_1	form_2sg_2	lemma
lahont	lahontlak	lahontalak	lahonttok	lahontotok	lahontnak	lahontanak	nt	lahontsz	lahontasz	lahont
ibreng	ibrenglek	ibrengelek	ibrengtek	ibrengetek	ibrengnek	ibrengenek	ng	ibrengsz	ibrengesz	ibreng
szipteszt	sziptesztlek	sziptesztelek	szipteszttek	sziptesztetek	sziptesztnek	sziptesztenek	st	sziptesztsz	sziptesztesz	siptest
szicsent	szicsentlek	szicsentelek	szicsenttek	szicsentetek	szicsentnek	szicsentenek	nt	szicsentsz	szicsentesz	sičent
nyorojt	nyorojtlak	nyorojtalak	nyorojttok	nyorojtotok	nyorojtnak	nyorojtanak	jt	nyorojtsz	nyorojtasz	ṉorojt
szüköjt	szüköjtlek	szüköjtelek	szüköjttök	szüköjtötök	szüköjtnek	szüköjtenek	jt	szüköjtsz	szüköjtesz	süköjt
kernyeszt	kernyesztlek	kernyesztelek	kernyeszttek	kernyesztetek	kernyesztnek	kernyesztenek	st	kernyesztsz	kernyesztesz	kerṉest
zsömhöjt	zsömhöjtlek	zsömhöjtelek	zsömhöjttök	zsömhöjtötök	zsömhöjtnek	zsömhöjtenek	jt	zsömhöjtsz	zsömhöjtesz	žömhöjt
ejjeng	ejjenglek	ejjengelek	ejjengtek	ejjengetek	ejjengnek	ejjengenek	ng	ejjengsz	ejjengesz	ejjeng
vurmong	vurmonglak	vurmongalak	vurmongtok	vurmongotok	vurmongnak	vurmonganak	ng	vurmongsz	vurmongasz	vurmong
cúrong	cúronglak	cúrongalak	cúrongtok	cúrongotok	cúrongnak	cúronganak	ng	cúrongsz	cúrongasz	cúrong
fedrent	fedrentlek	fedrentelek	fedrenttek	fedrentetek	fedrentnek	fedrentenek	nt	fedrentsz	fedrentesz	fedrent
börköszt	börkösztlek	börkösztelek	börköszttök	börkösztötök	börkösztnek	börkösztenek	st	börkösztsz	börkösztesz	börköst
hárkont	hárkontlak	hárkontalak	hárkonttok	hárkontotok	hárkontnak	hárkontanak	nt	hárkontsz	hárkontasz	hárkont
fomong	fomonglak	fomongalak	fomongtok	fomongotok	fomongnak	fomonganak	ng	fomongsz	fomongasz	fomong
hördöng	hördönglek	hördöngelek	hördöngtök	hördöngötök	hördöngnek	hördöngenek	ng	hördöngsz	hördöngesz	hördöng
mógyong	mógyonglak	mógyongalak	mógyongtok	mógyongotok	mógyongnak	mógyonganak	ng	mógyongsz	mógyongasz	móḏong
