lemma_orth	form_1sg2_1	form_1sg2_2	form_2pl_1	form_2pl_2	form_3pl_1	form_3pl_2	coda	form_2sg_1	form_2sg_2	lemma
lahont	lahontlak	lahontalak	lahonttok	lahontotok	lahontnak	lahontanak	nt	lahontsz	lahontasz	lahont
kanyvoszt	kanyvosztlak	kanyvosztalak	kanyvoszttok	kanyvosztotok	kanyvosztnak	kanyvosztanak	st	kanyvosztsz	kanyvosztasz	kaṉvost
ternyeszt	ternyesztlek	ternyesztelek	ternyeszttek	ternyesztetek	ternyesztnek	ternyesztenek	st	ternyesztsz	ternyesztesz	terṉest
ibreng	ibrenglek	ibrengelek	ibrengtek	ibrengetek	ibrengnek	ibrengenek	ng	ibrengsz	ibrengesz	ibreng
szipteszt	sziptesztlek	sziptesztelek	szipteszttek	sziptesztetek	sziptesztnek	sziptesztenek	st	sziptesztsz	sziptesztesz	siptest
rümlöszt	rümlösztlek	rümlösztelek	rümlöszttök	rümlösztötök	rümlösztnek	rümlösztenek	st	rümlösztsz	rümlösztesz	rümlöst
puszkojt	puszkojtlak	puszkojtalak	puszkojttok	puszkojtotok	puszkojtnak	puszkojtanak	jt	puszkojtsz	puszkojtasz	puskojt
szicsent	szicsentlek	szicsentelek	szicsenttek	szicsentetek	szicsentnek	szicsentenek	nt	szicsentsz	szicsentesz	sičent
nyorojt	nyorojtlak	nyorojtalak	nyorojttok	nyorojtotok	nyorojtnak	nyorojtanak	jt	nyorojtsz	nyorojtasz	ṉorojt
szüköjt	szüköjtlek	szüköjtelek	szüköjttök	szüköjtötök	szüköjtnek	szüköjtenek	jt	szüköjtsz	szüköjtesz	süköjt
csijeszt	csijesztlek	csijesztelek	csijeszttek	csijesztetek	csijesztnek	csijesztenek	st	csijesztsz	csijesztesz	čijest
kernyeszt	kernyesztlek	kernyesztelek	kernyeszttek	kernyesztetek	kernyesztnek	kernyesztenek	st	kernyesztsz	kernyesztesz	kerṉest
zsömhöjt	zsömhöjtlek	zsömhöjtelek	zsömhöjttök	zsömhöjtötök	zsömhöjtnek	zsömhöjtenek	jt	zsömhöjtsz	zsömhöjtesz	žömhöjt
vuhojt	vuhojtlak	vuhojtalak	vuhojttok	vuhojtotok	vuhojtnak	vuhojtanak	jt	vuhojtsz	vuhojtasz	vuhojt
ejjeng	ejjenglek	ejjengelek	ejjengtek	ejjengetek	ejjengnek	ejjengenek	ng	ejjengsz	ejjengesz	ejjeng
vurmong	vurmonglak	vurmongalak	vurmongtok	vurmongotok	vurmongnak	vurmonganak	ng	vurmongsz	vurmongasz	vurmong
cúrong	cúronglak	cúrongalak	cúrongtok	cúrongotok	cúrongnak	cúronganak	ng	cúrongsz	cúrongasz	cúrong
fedrent	fedrentlek	fedrentelek	fedrenttek	fedrentetek	fedrentnek	fedrentenek	nt	fedrentsz	fedrentesz	fedrent
börköszt	börkösztlek	börkösztelek	börköszttök	börkösztötök	börkösztnek	börkösztenek	st	börkösztsz	börkösztesz	börköst
hárkont	hárkontlak	hárkontalak	hárkonttok	hárkontotok	hárkontnak	hárkontanak	nt	hárkontsz	hárkontasz	hárkont
fomong	fomonglak	fomongalak	fomongtok	fomongotok	fomongnak	fomonganak	ng	fomongsz	fomongasz	fomong
hördöng	hördönglek	hördöngelek	hördöngtök	hördöngötök	hördöngnek	hördöngenek	ng	hördöngsz	hördöngesz	hördöng
jüjöng	jüjönglek	jüjöngelek	jüjöngtök	jüjöngötök	jüjöngnek	jüjöngenek	ng	jüjöngsz	jüjöngesz	jüjöng
mógyong	mógyonglak	mógyongalak	mógyongtok	mógyongotok	mógyongnak	mógyonganak	ng	mógyongsz	mógyongasz	móḏong
csölönt	csölöntlek	csölöntelek	csölönttök	csölöntötök	csölöntnek	csölöntenek	nt	csölöntsz	csölöntesz	čölönt
sohont	sohontlak	sohontalak	sohonttok	sohontotok	sohontnak	sohontanak	nt	sohontsz	sohontasz	šohont
hartojt	hartojtlak	hartojtalak	hartojttok	hartojtotok	hartojtnak	hartojtanak	jt	hartojtsz	hartojtasz	hartojt
kurtoszt	kurtosztlak	kurtosztalak	kurtoszttok	kurtosztotok	kurtosztnak	kurtosztanak	st	kurtosztsz	kurtosztasz	kurtost
fofont	fofontlak	fofontalak	fofonttok	fofontotok	fofontnak	fofontanak	nt	fofontsz	fofontasz	fofont
szűsöjt	szűsöjtlek	szűsöjtelek	szűsöjttök	szűsöjtötök	szűsöjtnek	szűsöjtenek	jt	szűsöjtsz	szűsöjtesz	sűšöjt
nyegejt	nyegejtlek	nyegejtelek	nyegejttek	nyegejtetek	nyegejtnek	nyegejtenek	jt	nyegejtsz	nyegejtesz	ṉegejt
csöttyönt	csöttyöntlek	csöttyöntelek	csöttyönttök	csöttyöntötök	csöttyöntnek	csöttyöntenek	nt	csöttyöntsz	csöttyöntesz	čöṯṯönt
tőrdöszt	tőrdösztlek	tőrdösztelek	tőrdöszttök	tőrdösztötök	tőrdösztnek	tőrdösztenek	st	tőrdösztsz	tőrdösztesz	tőrdöst
zotyong	zotyonglak	zotyongalak	zotyongtok	zotyongotok	zotyongnak	zotyonganak	ng	zotyongsz	zotyongasz	zoṯong
ursojt	ursojtlak	ursojtalak	ursojttok	ursojtotok	ursojtnak	ursojtanak	jt	ursojtsz	ursojtasz	uršojt
vórnyoszt	vórnyosztlak	vórnyosztalak	vórnyoszttok	vórnyosztotok	vórnyosztnak	vórnyosztanak	st	vórnyosztsz	vórnyosztasz	vórṉost
tóccong	tócconglak	tóccongalak	tóccongtok	tóccongotok	tóccongnak	tócconganak	ng	tóccongsz	tóccongasz	tóccong
kucojt	kucojtlak	kucojtalak	kucojttok	kucojtotok	kucojtnak	kucojtanak	jt	kucojtsz	kucojtasz	kucojt
munoszt	munosztlak	munosztalak	munoszttok	munosztotok	munosztnak	munosztanak	st	munosztsz	munosztasz	munost
hötyöng	hötyönglek	hötyöngelek	hötyöngtök	hötyöngötök	hötyöngnek	hötyöngenek	ng	hötyöngsz	hötyöngesz	höṯöng
ovont	ovontlak	ovontalak	ovonttok	ovontotok	ovontnak	ovontanak	nt	ovontsz	ovontasz	ovont
sittyeszt	sittyesztlek	sittyesztelek	sittyeszttek	sittyesztetek	sittyesztnek	sittyesztenek	st	sittyesztsz	sittyesztesz	šiṯṯest
sújlong	sújlonglak	sújlongalak	sújlongtok	sújlongotok	sújlongnak	sújlonganak	ng	sújlongsz	sújlongasz	šújlong
dönyhöszt	dönyhösztlek	dönyhösztelek	dönyhöszttök	dönyhösztötök	dönyhösztnek	dönyhösztenek	st	dönyhösztsz	dönyhösztesz	döṉhöst
cséleszt	csélesztlek	csélesztelek	cséleszttek	csélesztetek	csélesztnek	csélesztenek	st	csélesztsz	csélesztesz	čélest
nyuttojt	nyuttojtlak	nyuttojtalak	nyuttojttok	nyuttojtotok	nyuttojtnak	nyuttojtanak	jt	nyuttojtsz	nyuttojtasz	ṉuttojt
vutojt	vutojtlak	vutojtalak	vutojttok	vutojtotok	vutojtnak	vutojtanak	jt	vutojtsz	vutojtasz	vutojt
pégeng	pégenglek	pégengelek	pégengtek	pégengetek	pégengnek	pégengenek	ng	pégengsz	pégengesz	pégeng
ubojt	ubojtlak	ubojtalak	ubojttok	ubojtotok	ubojtnak	ubojtanak	jt	ubojtsz	ubojtasz	ubojt
odoszt	odosztlak	odosztalak	odoszttok	odosztotok	odosztnak	odosztanak	st	odosztsz	odosztasz	odost
gyonong	gyononglak	gyonongalak	gyonongtok	gyonongotok	gyonongnak	gyononganak	ng	gyonongsz	gyonongasz	ḏonong
ütvöszt	ütvösztlek	ütvösztelek	ütvöszttök	ütvösztötök	ütvösztnek	ütvösztenek	st	ütvösztsz	ütvösztesz	ütvöst
párgojt	párgojtlak	párgojtalak	párgojttok	párgojtotok	párgojtnak	párgojtanak	jt	párgojtsz	párgojtasz	párgojt
