word1	word2	segment1	segment2	dist	phon_dist	length
lahont	kaṉvost	"[""l"", ""a"", ""-"", ""h"", ""o"", ""n"", ""t""]"	"[""k"", ""a"", ""ṉ"", ""v"", ""o"", ""s"", ""t""]"	[0.9166666666666666, 0.0, 1.0, 0.7142857142857143, 0.0, 0.8648648648648649, 0.0]	3.495817245817246	7
lahont	terṉest	"[""l"", ""a"", ""h"", ""-"", ""o"", ""n"", ""t""]"	"[""t"", ""e"", ""r"", ""ṉ"", ""e"", ""s"", ""t""]"	[0.8484848484848485, 0.6296296296296297, 0.7777777777777778, 1.0, 0.8378378378378378, 0.8648648648648649, 0.0]	4.958594958594959	7
lahont	ibreng	"[""l"", ""a"", ""h"", ""o"", ""n"", ""t""]"	"[""i"", ""b"", ""r"", ""e"", ""n"", ""g""]"	[0.8823529411764706, 0.9696969696969697, 0.7777777777777778, 0.8378378378378378, 0.0, 0.8275862068965517]	4.295251733385608	6
lahont	siptest	"[""l"", ""a"", ""h"", ""-"", ""o"", ""n"", ""t""]"	"[""s"", ""i"", ""p"", ""t"", ""e"", ""s"", ""t""]"	[0.6428571428571428, 0.8181818181818181, 0.8235294117647058, 1.0, 0.8378378378378378, 0.8648648648648649, 0.0]	4.98727107550637	7
lahont	rümlöst	"[""l"", ""a"", ""-"", ""h"", ""o"", ""n"", ""t""]"	"[""r"", ""ü"", ""m"", ""l"", ""ö"", ""s"", ""t""]"	[0.11764705882352944, 0.8974358974358975, 1.0, 0.7777777777777778, 0.6, 0.8648648648648649, 0.0]	4.25772559890207	7
lahont	puskojt	"[""l"", ""a"", ""h"", ""-"", ""o"", ""n"", ""t""]"	"[""p"", ""u"", ""s"", ""k"", ""o"", ""j"", ""t""]"	[0.9285714285714286, 0.7741935483870968, 0.7272727272727273, 1.0, 0.0, 0.7931034482758621, 0.0]	4.2231411525071145	7
lahont	sičent	"[""l"", ""a"", ""h"", ""o"", ""n"", ""t""]"	"[""s"", ""i"", ""č"", ""e"", ""n"", ""t""]"	[0.6428571428571428, 0.8181818181818181, 0.875, 0.8378378378378378, 0.0, 0.0]	3.1738767988767984	6
lahont	ṉorojt	"[""l"", ""a"", ""h"", ""o"", ""n"", ""t""]"	"[""ṉ"", ""o"", ""r"", ""o"", ""j"", ""t""]"	[0.8, 0.6206896551724138, 0.7777777777777778, 0.0, 0.7931034482758621, 0.0]	2.9915708812260537	6
lahont	süköjt	"[""l"", ""a"", ""h"", ""o"", ""n"", ""t""]"	"[""s"", ""ü"", ""k"", ""ö"", ""j"", ""t""]"	[0.6428571428571428, 0.8974358974358975, 0.7692307692307692, 0.6, 0.7931034482758621, 0.0]	3.7026272577996715	6
lahont	čijest	"[""l"", ""a"", ""h"", ""o"", ""n"", ""t""]"	"[""č"", ""i"", ""j"", ""e"", ""s"", ""t""]"	[0.8787878787878788, 0.8181818181818181, 0.7647058823529411, 0.8378378378378378, 0.8648648648648649, 0.0]	4.164378282025341	6
lahont	kerṉest	"[""l"", ""a"", ""h"", ""-"", ""o"", ""n"", ""t""]"	"[""k"", ""e"", ""r"", ""ṉ"", ""e"", ""s"", ""t""]"	[0.9166666666666666, 0.6296296296296297, 0.7777777777777778, 1.0, 0.8378378378378378, 0.8648648648648649, 0.0]	5.026776776776777	7
lahont	žömhöjt	"[""l"", ""a"", ""-"", ""h"", ""o"", ""n"", ""t""]"	"[""ž"", ""ö"", ""m"", ""h"", ""ö"", ""j"", ""t""]"	[0.7575757575757576, 0.8378378378378378, 1.0, 0.0, 0.6, 0.7931034482758621, 0.0]	3.9885170436894577	7
lahont	vuhojt	"[""l"", ""a"", ""h"", ""o"", ""n"", ""t""]"	"[""v"", ""u"", ""h"", ""o"", ""j"", ""t""]"	[0.8333333333333334, 0.7741935483870968, 0.0, 0.0, 0.7931034482758621, 0.0]	2.400630329996292	6
lahont	ejjeng	"[""l"", ""a"", ""h"", ""o"", ""n"", ""t""]"	"[""e"", ""j"", ""j"", ""e"", ""n"", ""g""]"	[0.875, 0.9333333333333333, 0.7647058823529411, 0.8378378378378378, 0.0, 0.8275862068965517]	4.238463260420664	6
lahont	vurmong	"[""l"", ""a"", ""h"", ""-"", ""o"", ""n"", ""t""]"	"[""v"", ""u"", ""r"", ""m"", ""o"", ""n"", ""g""]"	[0.8333333333333334, 0.7741935483870968, 0.7777777777777778, 1.0, 0.0, 0.0, 0.8275862068965517]	4.212890866394759	7
lahont	cúrong	"[""l"", ""a"", ""h"", ""o"", ""n"", ""t""]"	"[""c"", ""ú"", ""r"", ""o"", ""n"", ""g""]"	[0.8484848484848485, 0.8484848484848485, 0.7777777777777778, 0.0, 0.0, 0.8275862068965517]	3.3023336816440265	6
lahont	fedrent	"[""l"", ""a"", ""-"", ""h"", ""o"", ""n"", ""t""]"	"[""f"", ""e"", ""d"", ""r"", ""e"", ""n"", ""t""]"	[0.8518518518518519, 0.6296296296296297, 1.0, 0.7777777777777778, 0.8378378378378378, 0.0, 0.0]	4.097097097097097	7
lahont	börköst	"[""l"", ""a"", ""-"", ""h"", ""o"", ""n"", ""t""]"	"[""b"", ""ö"", ""r"", ""k"", ""ö"", ""s"", ""t""]"	[0.935483870967742, 0.8378378378378378, 1.0, 0.7692307692307692, 0.6, 0.8648648648648649, 0.0]	5.007417342901213	7
lahont	hárkont	"[""l"", ""a"", ""-"", ""h"", ""o"", ""n"", ""t""]"	"[""h"", ""á"", ""r"", ""k"", ""o"", ""n"", ""t""]"	[0.7777777777777778, 0.5833333333333333, 1.0, 0.7692307692307692, 0.0, 0.0, 0.0]	3.1303418803418803	7
lahont	fomong	"[""l"", ""a"", ""h"", ""o"", ""n"", ""t""]"	"[""f"", ""o"", ""m"", ""o"", ""n"", ""g""]"	[0.8518518518518519, 0.6206896551724138, 0.8823529411764706, 0.0, 0.0, 0.8275862068965517]	3.182480655097288	6
lahont	hördöng	"[""l"", ""a"", ""h"", ""-"", ""o"", ""n"", ""t""]"	"[""h"", ""ö"", ""r"", ""d"", ""ö"", ""n"", ""g""]"	[0.7777777777777778, 0.8378378378378378, 0.7777777777777778, 1.0, 0.6, 0.0, 0.8275862068965517]	4.820979600289945	7
lahont	jüjöng	"[""l"", ""a"", ""h"", ""o"", ""n"", ""t""]"	"[""j"", ""ü"", ""j"", ""ö"", ""n"", ""g""]"	[0.44999999999999996, 0.8974358974358975, 0.7647058823529411, 0.6, 0.0, 0.8275862068965517]	3.5397279866853903	6
