segment1	segment2	similarity
a	a	1.0
a	á	0.417
a	e	0.37
a	é	0.194
a	i	0.182
a	í	0.114
a	o	0.379
a	ó	0.212
a	ö	0.162
a	ő	0.103
a	u	0.226
a	ú	0.152
a	ü	0.103
a	ű	0.075
a	p	0.033
a	b	0.03
a	f	0.067
a	v	0.074
a	m	0.034
a	t	0.026
a	d	0.023
a	s	0.054
a	z	0.05
a	c	0.026
a	n	0.028
a	l	0.065
a	r	0.065
a	ṯ	0.028
a	ḏ	0.024
a	š	0.054
a	ž	0.05
a	č	0.027
a	ṉ	0.028
a	j	0.067
a	k	0.08
a	g	0.074
a	h	0.095
á	a	0.417
á	á	1.0
á	e	0.194
á	é	0.37
á	i	0.114
á	í	0.182
á	o	0.212
á	ó	0.379
á	ö	0.103
á	ő	0.162
á	u	0.152
á	ú	0.226
á	ü	0.075
á	ű	0.103
á	p	0.033
á	b	0.03
á	f	0.067
á	v	0.074
á	m	0.034
á	t	0.026
á	d	0.023
á	s	0.054
á	z	0.05
á	c	0.026
á	n	0.028
á	l	0.065
á	r	0.065
á	ṯ	0.028
á	ḏ	0.024
á	š	0.054
á	ž	0.05
á	č	0.027
á	ṉ	0.028
á	j	0.067
á	k	0.08
á	g	0.074
á	h	0.095
e	a	0.37
e	á	0.194
e	e	1.0
e	é	0.429
e	i	0.4
e	í	0.235
e	o	0.162
e	ó	0.103
e	ö	0.353
e	ő	0.211
e	u	0.108
e	ú	0.079
e	ü	0.211
e	ű	0.15
e	p	0.03
e	b	0.028
e	f	0.061
e	v	0.067
e	m	0.031
e	t	0.05
e	d	0.044
e	s	0.105
e	z	0.098
e	c	0.05
e	n	0.053
e	l	0.125
e	r	0.125
e	ṯ	0.053
e	ḏ	0.045
e	š	0.105
e	ž	0.098
e	č	0.051
e	ṉ	0.053
e	j	0.129
e	k	0.034
e	g	0.032
e	h	0.083
é	a	0.194
é	á	0.37
é	e	0.429
é	é	1.0
é	i	0.235
é	í	0.4
é	o	0.103
é	ó	0.162
é	ö	0.211
é	ő	0.353
é	u	0.079
é	ú	0.108
é	ü	0.15
é	ű	0.211
é	p	0.03
é	b	0.028
é	f	0.061
é	v	0.067
é	m	0.031
é	t	0.05
é	d	0.044
é	s	0.105
é	z	0.098
é	c	0.05
é	n	0.053
é	l	0.125
é	r	0.125
é	ṯ	0.053
é	ḏ	0.045
é	š	0.105
é	ž	0.098
é	č	0.051
é	ṉ	0.053
é	j	0.129
é	k	0.034
é	g	0.032
é	h	0.083
i	a	0.182
i	á	0.114
i	e	0.4
i	é	0.235
i	i	1.0
i	í	0.419
i	o	0.154
i	ó	0.098
i	ö	0.333
i	ő	0.2
i	u	0.229
i	ú	0.132
i	ü	0.5
i	ű	0.263
i	p	0.029
i	b	0.026
i	f	0.057
i	v	0.062
i	m	0.029
i	t	0.048
i	d	0.043
i	s	0.1
i	z	0.093
i	c	0.048
i	n	0.05
i	l	0.118
i	r	0.118
i	ṯ	0.05
i	ḏ	0.043
i	š	0.1
i	ž	0.093
i	č	0.049
i	ṉ	0.05
i	j	0.121
i	k	0.032
i	g	0.03
i	h	0.077
í	a	0.114
í	á	0.182
í	e	0.235
í	é	0.4
í	i	0.419
í	í	1.0
í	o	0.098
í	ó	0.154
í	ö	0.2
í	ő	0.333
í	u	0.132
í	ú	0.229
í	ü	0.263
í	ű	0.5
í	p	0.029
í	b	0.026
í	f	0.057
í	v	0.062
í	m	0.029
í	t	0.048
í	d	0.043
í	s	0.1
í	z	0.093
í	c	0.048
í	n	0.05
í	l	0.118
í	r	0.118
í	ṯ	0.05
í	ḏ	0.043
í	š	0.1
í	ž	0.093
í	č	0.049
í	ṉ	0.05
í	j	0.121
í	k	0.032
í	g	0.03
í	h	0.077
o	a	0.379
o	á	0.212
o	e	0.162
o	é	0.103
o	i	0.154
o	í	0.098
o	o	1.0
o	ó	0.438
o	ö	0.4
o	ő	0.225
o	u	0.517
o	ú	0.294
o	ü	0.256
o	ű	0.167
o	p	0.057
o	b	0.053
o	f	0.118
o	v	0.129
o	m	0.059
o	t	0.023
o	d	0.02
o	s	0.047
o	z	0.043
o	c	0.023
o	n	0.024
o	l	0.054
o	r	0.054
o	ṯ	0.024
o	ḏ	0.021
o	š	0.047
o	ž	0.043
o	č	0.023
o	ṉ	0.024
o	j	0.056
o	k	0.065
o	g	0.061
o	h	0.074
ó	a	0.212
ó	á	0.379
ó	e	0.103
ó	é	0.162
ó	i	0.098
ó	í	0.154
ó	o	0.438
ó	ó	1.0
ó	ö	0.225
ó	ő	0.4
ó	u	0.294
ó	ú	0.517
ó	ü	0.167
ó	ű	0.256
ó	p	0.057
ó	b	0.053
ó	f	0.118
ó	v	0.129
ó	m	0.059
ó	t	0.023
ó	d	0.02
ó	s	0.047
ó	z	0.043
ó	c	0.023
ó	n	0.024
ó	l	0.054
ó	r	0.054
ó	ṯ	0.024
ó	ḏ	0.021
ó	š	0.047
ó	ž	0.043
ó	č	0.023
ó	ṉ	0.024
ó	j	0.056
ó	k	0.065
ó	g	0.061
ó	h	0.074
ö	a	0.162
ö	á	0.103
ö	e	0.353
ö	é	0.211
ö	i	0.333
ö	í	0.2
ö	o	0.4
ö	ó	0.225
ö	ö	1.0
ö	ő	0.444
ö	u	0.27
ö	ú	0.175
ö	ü	0.529
ö	ű	0.3
ö	p	0.053
ö	b	0.049
ö	f	0.108
ö	v	0.118
ö	m	0.054
ö	t	0.043
ö	d	0.039
ö	s	0.091
ö	z	0.085
ö	c	0.043
ö	n	0.045
ö	l	0.105
ö	r	0.105
ö	ṯ	0.045
ö	ḏ	0.04
ö	š	0.091
ö	ž	0.085
ö	č	0.044
ö	ṉ	0.045
ö	j	0.108
ö	k	0.029
ö	g	0.027
ö	h	0.067
ő	a	0.103
ő	á	0.162
ő	e	0.211
ő	é	0.353
ő	i	0.2
ő	í	0.333
ő	o	0.225
ő	ó	0.4
ő	ö	0.444
ő	ő	1.0
ő	u	0.175
ő	ú	0.27
ő	ü	0.3
ő	ű	0.529
ő	p	0.053
ő	b	0.049
ő	f	0.108
ő	v	0.118
ő	m	0.054
ő	t	0.043
ő	d	0.039
ő	s	0.091
ő	z	0.085
ő	c	0.043
ő	n	0.045
ő	l	0.105
ő	r	0.105
ő	ṯ	0.045
ő	ḏ	0.04
ő	š	0.091
ő	ž	0.085
ő	č	0.044
ő	ṉ	0.045
ő	j	0.108
ő	k	0.029
ő	g	0.027
ő	h	0.067
